Querier,allow policy size,no. of guards,guard size,generation_time
23,178,37,1099,258
34,139,29,860,137
37,156,25,961,171
38,174,37,1074,151
43,156,32,963,120
53,157,28,969,156
56,191,8,1150,131
69,188,33,1160,143
76,145,25,893,187
77,172,32,1059,137
80,151,30,930,112
81,175,35,1081,137
87,182,42,1125,151
100,165,30,1017,125
114,102,8,617,75
118,177,39,1094,144
120,185,41,1142,148
133,187,14,1136,223
140,195,41,1203,151
141,245,14,1477,210
142,182,33,1120,207
149,149,30,918,124
157,184,37,1134,158
171,210,38,1294,194
173,180,38,1113,185
177,189,25,1153,179
180,147,32,910,109
185,244,26,1487,244
186,177,32,1090,128
193,186,36,1147,204
210,176,35,1085,128
216,152,31,938,113
217,160,31,988,132
235,206,39,1271,191
251,212,39,1308,189
257,166,20,1010,141
262,206,19,1252,289
263,185,32,1140,160
265,275,24,1668,229
280,170,35,1051,137
299,158,30,976,142
300,193,38,1195,167
314,150,28,925,127
317,178,34,1100,129
326,213,41,1315,198
353,196,40,1209,154
355,189,37,1169,161
356,231,43,1425,221
364,169,32,1044,130
372,209,40,1290,172
387,197,40,1213,210
393,202,41,1246,219
401,147,26,905,122
402,174,30,1070,141
416,230,44,1419,284
428,186,17,1131,163
432,213,17,1292,198
433,186,16,1131,142
439,201,40,1243,157
453,251,44,1545,242
459,224,47,1387,306
466,158,30,975,140
474,192,30,1178,166
479,189,8,1138,264
496,164,22,1006,141
501,153,16,933,177
532,207,37,1275,170
542,230,44,1420,226
544,205,37,1264,142
550,222,41,1366,150
555,187,21,1141,127
560,207,37,1273,140
568,230,37,1414,196
580,233,43,1435,163
588,132,25,816,113
597,131,16,800,103
612,202,39,1248,198
614,264,49,1627,201
625,234,17,1419,180
633,167,20,1020,156
634,241,42,1485,178
637,238,41,1464,181
638,188,33,1157,171
640,227,25,1383,176
649,137,26,845,105
651,228,44,1408,287
653,169,37,1049,142
654,258,46,1591,278
656,150,16,915,108
673,231,42,1423,171
675,243,12,1469,161
676,221,38,1358,163
677,234,44,1445,196
690,245,45,1510,177
696,259,40,1589,256
698,236,41,1451,181
707,151,3,909,144
710,250,34,1530,189
717,162,34,1000,118
719,153,25,941,111
721,224,45,1385,163
727,131,28,809,109
731,183,32,1127,126
739,194,24,1183,154
740,140,29,865,94
741,224,41,1382,154
746,170,35,1052,117
755,188,7,1132,125
761,151,29,932,172
783,205,34,1261,164
786,195,36,1200,139
795,220,47,1363,148
798,194,22,1182,128
803,225,15,1362,159
814,218,42,1348,151
827,184,37,1136,125
828,248,42,1527,169
836,139,17,846,86
857,179,33,1104,175
864,137,32,850,94
865,220,42,1359,155
870,121,24,747,81
887,112,25,693,110
888,180,34,1113,146
906,159,34,983,126
909,165,39,1023,284
912,128,28,793,87
922,166,40,1029,119
935,112,26,692,73
945,164,33,1011,117
947,80,18,495,89
955,105,21,648,74
958,211,42,1303,155
989,230,41,1416,176
999,143,27,883,99
1008,217,35,1333,243
1023,202,39,1248,153
1028,181,8,1090,133
1037,166,25,1020,129
1040,188,36,1161,138
1041,279,47,1719,220
1044,151,13,910,108
1051,184,39,1138,136
1063,164,8,990,105
1070,152,21,928,105
1073,130,8,784,90
1074,147,27,908,385
1079,287,5,1718,224
1081,223,36,1370,179
1082,154,32,950,128
1085,150,33,925,111
1088,143,29,881,111
1093,81,19,502,158
1100,192,35,1185,152
1123,220,17,1333,147
1131,201,42,1244,299
1133,192,16,1165,173
1152,265,25,1608,201
1158,161,13,976,128
1160,122,26,754,84
1162,172,32,1060,116
1173,230,28,1404,158
1184,239,42,1472,236
1202,132,28,818,92
1204,97,20,600,63
1208,218,40,1347,201
1211,198,16,1201,141
1220,192,37,1186,139
1224,191,8,1145,140
1235,185,7,1111,129
1239,121,24,748,81
1253,247,47,1525,281
1261,273,27,1660,181
1266,165,28,1018,138
1267,206,42,1272,140
1269,149,26,918,106
1271,192,34,1184,236
1278,211,36,1298,145
1287,239,46,1478,182
1291,150,31,926,108
1312,183,14,1106,120
1315,280,44,1719,225
1319,148,25,911,105
1331,255,45,1572,192
1333,146,29,901,99
1337,183,34,1130,126
1343,178,33,1097,161
1351,190,22,1154,127
1378,164,28,1011,109
1383,207,31,1272,201
1388,190,35,1171,129
1393,139,13,839,93
1406,213,44,1318,155
1408,123,6,737,79
1411,211,29,1294,161
1412,182,24,1114,128
1416,158,28,975,110
1420,110,8,664,77
1448,137,26,846,99
1455,192,35,1183,356
1467,152,32,940,118
1479,202,33,1240,180
1482,210,39,1298,159
1487,194,34,1195,135
1489,227,39,1400,203
1492,135,13,819,88
1494,214,41,1321,148
1497,277,45,1702,203
1500,188,31,1158,130
1505,200,37,1234,154
1523,178,36,1100,122
1535,226,46,1400,154
1545,230,46,1420,190
1563,253,46,1559,175
1568,220,43,1357,153
1574,286,47,1759,250
1576,206,39,1271,143
1578,193,37,1193,129
1581,231,46,1425,171
1594,210,8,1265,134
1599,250,45,1541,292
1605,181,22,1104,131
1609,213,39,1313,144
1625,257,46,1584,194
1627,194,40,1200,131
1642,202,35,1245,146
1645,219,31,1344,149
1649,214,37,1317,192
1663,194,37,1198,130
1676,172,36,1065,119
1682,212,39,1309,149
1691,186,32,1146,156
1694,236,43,1455,159
1696,219,40,1347,155
1698,199,38,1226,139
1704,201,8,1210,132
1705,184,19,1118,174
1736,215,40,1325,149
1748,191,40,1181,134
1766,150,28,925,117
1767,239,30,1458,158
1785,219,44,1356,156
1812,172,30,1059,123
1826,197,41,1218,143
1828,245,33,1501,168
1842,126,25,778,94
1844,226,14,1366,167
1849,221,43,1367,289
1852,227,41,1398,159
1855,195,40,1206,151
1867,273,48,1681,185
1869,197,14,1190,131
1896,296,52,1824,205
1899,202,42,1250,226
1901,216,39,1331,153
1905,210,16,1275,136
1910,245,38,1505,194
1912,170,33,1050,118
1952,199,35,1224,155
1956,168,21,1022,113
1958,169,34,1045,117
1960,263,50,1622,178
1986,214,43,1324,147
1987,215,37,1322,153
1989,206,36,1269,197
1995,254,50,1568,175
2005,149,26,918,100
2018,203,40,1255,205
2022,154,28,950,117
2023,199,37,1229,151
2026,239,15,1448,255
2033,198,20,1205,149
2037,197,42,1218,136
2039,359,6,2148,305
2041,133,7,800,89
2045,143,10,868,90
2050,212,41,1311,142
2055,174,36,1076,185
2060,236,46,1457,159
2063,128,7,769,81
2064,177,19,1079,142
2065,140,26,865,95
2071,201,38,1238,130
2080,120,8,725,108
2082,181,38,1119,123
2085,235,43,1451,175
2087,196,31,1204,131
2102,117,7,701,82
2108,197,26,1201,183
2112,197,32,1210,132
2116,233,46,1443,153
2124,188,31,1154,198
2126,288,29,1750,201
2130,224,10,1354,159
2133,216,45,1335,151
2134,228,45,1411,152
2136,158,13,960,101
2140,140,7,843,90
2148,143,20,876,101
2163,176,37,1090,119
2168,202,30,1241,190
2177,208,9,1253,147
2184,196,39,1213,133
2201,219,43,1352,149
2216,248,12,1498,162
2227,177,32,1090,123
2228,203,40,1253,186
2233,200,42,1237,135
2237,172,28,1058,149
2239,276,55,1704,276
2250,281,53,1730,210
2269,166,27,1021,114
2278,199,33,1224,135
2282,252,35,1545,177
2305,183,38,1133,137
2306,230,14,1390,173
2312,172,18,1047,127
2344,154,8,929,97
2351,252,10,1519,171
2371,202,42,1248,140
2383,182,30,1121,148
2385,183,30,1127,126
2397,109,6,657,78
2419,168,35,1040,116
2422,124,23,764,111
2427,126,24,779,84
2450,208,20,1264,141
2469,213,33,1309,226
2471,233,28,1422,159
2474,240,17,1456,158
2482,191,22,1158,138
2488,197,31,1208,136
2498,209,41,1292,144
2518,209,46,1293,170
2539,208,45,1288,143
2543,206,42,1273,134
2546,196,40,1209,176
2550,221,9,1335,145
2561,192,40,1189,122
2565,126,27,778,122
2569,191,23,1168,125
2574,156,28,961,103
2585,224,20,1359,145
2591,196,22,1193,200
2595,229,47,1417,160
2608,229,50,1415,184
2612,178,13,1074,133
2613,169,37,1047,128
2640,111,21,687,119
2641,192,38,1184,141
2647,188,31,1155,144
2673,151,29,933,145
2692,122,24,754,77
2702,183,13,1108,119
2708,149,29,921,106
2730,174,36,1079,115
2737,171,30,1052,120
2738,202,39,1246,190
2743,230,21,1397,170
2748,244,43,1505,258
2751,211,42,1307,145
2753,174,36,1076,142
2780,184,8,1109,122
2791,187,20,1139,126
2802,232,44,1434,163
2811,233,46,1442,214
2812,150,31,926,103
2819,219,46,1359,218
2833,182,40,1124,160
2834,151,31,931,105
2836,188,41,1165,129
2842,147,27,906,100
2847,219,47,1359,157
2848,162,34,1003,111
2852,189,41,1172,127
2857,205,38,1266,143
2862,196,41,1214,136
2890,205,16,1245,130
2905,164,33,1014,132
2917,189,29,1159,134
2918,243,30,1484,187
2921,189,17,1150,125
2922,217,14,1312,154
2925,192,13,1162,162
2929,190,37,1169,366
2932,264,35,1618,251
2939,177,29,1089,129
2940,164,16,995,117
2963,235,45,1450,177
2991,172,38,1067,135
3004,173,17,1050,161
3006,260,52,1605,192
3007,177,30,1088,121
3008,174,38,1079,231
3026,180,29,1105,210
3027,196,32,1203,304
3031,202,12,1221,149
3038,182,34,1120,146
3055,185,35,1140,132
3058,282,54,1739,333
3061,217,41,1338,147
3069,208,39,1280,143
3073,168,33,1040,148
3079,180,35,1114,129
3081,201,36,1238,153
3082,243,44,1498,170
3087,233,44,1436,164
3091,224,35,1374,182
3100,167,35,1033,111
3104,159,19,968,133
3122,190,35,1174,136
3128,167,32,1032,136
3131,214,13,1294,139
3134,151,33,933,121
3141,152,29,935,166
3142,173,27,1061,119
3143,180,36,1112,123
3145,184,32,1133,158
3165,289,54,1782,211
3173,187,38,1154,124
3177,191,12,1156,179
3192,199,40,1228,145
3196,205,39,1266,224
3206,233,40,1432,181
3212,173,31,1066,216
3213,218,43,1345,158
3214,138,21,846,100
3215,269,49,1659,188
3233,191,21,1159,131
3243,239,19,1448,156
3249,198,38,1222,136
3260,192,8,1158,119
3270,187,37,1157,123
3272,129,28,794,88
3275,185,23,1126,129
3282,178,12,1076,163
3285,187,39,1160,130
3314,167,31,1030,115
3328,177,30,1089,120
3340,249,38,1526,178
3341,201,37,1240,134
3348,174,30,1071,115
3349,197,39,1219,155
3354,205,38,1266,145
3364,171,19,1039,113
3377,195,23,1190,137
3378,189,36,1163,136
3386,209,23,1271,139
3387,157,30,971,109
3391,240,46,1481,190
3405,164,31,1011,112
3430,142,31,876,98
3457,264,21,1599,227
3459,174,32,1073,118
3465,214,16,1297,141
3473,166,23,1018,108
3476,220,22,1333,145
3487,181,39,1116,129
3492,183,36,1132,123
3495,125,25,771,110
3496,174,32,1072,120
3514,183,36,1130,185
3524,180,37,1114,119
3540,216,29,1321,146
3549,210,35,1292,184
3589,141,8,852,89
3619,187,38,1156,150
3621,185,36,1140,121
3632,171,35,1059,118
3642,161,23,987,123
3646,152,31,941,100
3652,164,36,1016,135
3672,174,32,1072,121
3680,155,15,943,101
3699,196,30,1203,154
3718,149,33,922,100
3722,112,8,680,76
3736,167,8,1007,221
3740,165,29,1012,113
3745,227,30,1387,200
3756,241,20,1458,157
3765,173,34,1070,120
3769,175,29,1076,144
3778,173,34,1069,118
3784,198,35,1218,172
3792,144,31,891,98
3796,141,32,870,98
3798,127,7,766,109
3811,213,9,1279,210
3815,146,32,901,122
3822,222,34,1362,161
3826,186,36,1149,136
3830,176,37,1089,121
3832,203,23,1237,138
3838,188,18,1143,182
3839,165,35,1018,110
3848,153,17,930,146
3854,187,37,1156,127
3882,166,35,1023,132
3898,202,18,1224,133
3899,151,30,931,122
3901,176,36,1089,132
3911,160,30,988,143
3914,226,45,1398,201
3918,210,13,1271,141
3921,209,42,1291,167
3929,202,38,1248,157
3933,183,37,1129,167
3949,249,47,1536,190
3967,225,39,1388,183
3970,177,26,1086,152
3971,197,27,1208,154
3980,225,35,1383,154
3981,150,19,911,99
3990,265,47,1636,185
3991,188,39,1160,132
3996,178,25,1088,134
3998,259,46,1599,192
4019,184,33,1134,128
4032,149,34,923,152
4039,184,34,1133,141
4040,169,37,1047,140
4041,262,46,1618,190
4042,139,29,857,113
4051,150,30,927,103
4052,253,46,1561,177
4066,250,45,1542,213
4077,269,46,1657,208
4079,218,43,1346,151
4082,124,24,766,101
4095,151,27,931,113
4111,215,44,1328,208
4116,201,31,1236,160
4123,218,41,1344,150
4141,190,34,1170,133
4153,217,42,1339,176
4167,166,24,1018,155
4170,139,27,859,90
4174,182,28,1119,124
4178,127,11,770,83
4184,187,30,1148,141
4185,188,35,1159,135
4193,200,40,1236,137
4211,188,29,1153,126
4213,143,26,884,92
4229,110,27,680,71
4250,191,32,1174,207
4255,166,9,1004,118
4269,182,37,1124,128
4289,227,43,1402,161
4292,247,41,1521,196
4305,207,17,1254,136
4319,261,47,1609,203
4323,215,43,1327,148
4329,229,48,1416,202
4331,146,24,895,141
4337,31,2,187,17
4341,186,41,1152,131
4342,199,38,1228,136
4355,264,20,1595,219
4368,199,40,1227,156
4375,217,40,1337,177
4388,233,48,1439,167
4391,151,35,937,101
4397,185,41,1146,131
4404,195,17,1180,129
4414,196,40,1211,152
4415,210,11,1267,155
4418,229,22,1393,161
4429,164,33,1015,112
4433,164,32,1010,113
4435,255,22,1549,178
4452,154,35,956,102
4460,163,36,1009,111
4465,229,44,1413,165
4468,141,28,872,94
4477,254,49,1567,208
4480,235,43,1447,194
4485,200,20,1217,148
4494,240,45,1479,173
4495,195,42,1206,145
4501,158,34,978,106
4508,192,9,1155,127
4514,248,49,1531,167
4520,170,33,1049,118
4538,174,33,1076,116
4547,153,28,944,101
4551,153,7,923,150
4553,202,14,1224,133
4556,169,35,1043,115
4560,126,7,761,82
4566,168,33,1035,116
4570,209,41,1292,163
4589,172,33,1061,118
4591,234,25,1424,158
4593,167,39,1033,114
4610,188,38,1159,129
4613,247,21,1496,158
4617,181,36,1118,124
4621,202,42,1251,142
4635,229,41,1409,155
4637,144,17,878,95
4640,240,19,1453,334
4658,162,31,1000,131
4659,206,26,1258,152
4673,211,14,1278,161
4677,160,15,972,110
4680,199,36,1227,141
4686,217,24,1323,163
4692,217,38,1335,150
4702,183,22,1117,131
4717,240,25,1462,164
4723,165,35,1022,109
4731,264,47,1626,183
4753,169,33,1044,116
4757,170,34,1050,119
4774,154,31,951,105
4779,172,16,1042,114
4792,156,28,963,107
4808,140,26,862,92
4813,151,28,931,101
4817,254,26,1545,239
4833,186,38,1147,130
4836,215,36,1323,141
4847,149,33,920,111
4863,199,20,1211,136
4875,134,28,829,132
4881,146,29,901,97
4885,220,21,1334,211
4889,135,32,836,89
4903,219,39,1348,161
4930,173,33,1066,121
4942,170,29,1047,137
4945,214,41,1320,139
4947,162,32,1000,178
4950,190,36,1171,130
4959,241,22,1463,162
4999,158,32,979,157
5009,191,34,1173,131
5016,164,37,1014,114
5021,192,38,1187,147
5025,178,32,1099,131
5030,226,40,1394,173
5036,207,37,1277,229
5038,179,38,1103,130
5043,184,18,1116,119
5048,193,33,1190,135
5049,139,31,862,148
5050,161,36,1000,169
5055,252,45,1551,217
5063,179,33,1106,123
5068,207,39,1278,176
5073,235,42,1446,180
5080,147,33,912,105
5088,198,33,1218,147
5094,207,40,1280,312
5102,203,41,1253,179
5105,95,4,567,93
5112,168,8,1014,249
5122,136,19,831,97
5124,134,25,827,92
5131,142,19,870,121
5133,141,16,859,96
5137,229,48,1417,162
5143,208,41,1284,146
5144,245,43,1506,169
5149,199,40,1231,216
5153,203,38,1251,140
5165,240,43,1477,185
5183,229,42,1413,156
5199,175,35,1080,144
5200,219,42,1352,147
5208,183,12,1108,116
5209,211,39,1301,166
5211,156,8,939,95
5213,211,13,1273,162
5222,205,43,1265,141
5236,175,37,1082,119
5239,211,41,1302,159
5246,218,42,1347,152
5250,208,41,1286,143
5278,282,51,1737,194
5280,201,36,1242,138
5283,185,35,1145,123
5293,229,36,1407,192
5320,131,26,807,87
5323,174,34,1077,158
5352,157,27,964,108
5353,118,8,715,85
5360,261,48,1608,228
5379,168,23,1026,115
5383,278,27,1687,214
5394,162,30,997,117
5398,181,24,1107,125
5400,231,47,1426,166
5420,191,39,1182,130
5436,190,35,1174,146
5457,178,29,1094,124
5486,190,39,1174,137
5489,56,3,338,35
5492,163,35,1007,108
5498,197,39,1219,149
5520,191,31,1172,131
5537,136,19,832,103
5545,155,35,960,145
5557,193,40,1193,137
5563,168,37,1040,120
5564,235,44,1452,252
5566,180,35,1110,163
5569,200,9,1204,141
5573,163,39,1008,111
5579,133,28,821,91
5589,191,35,1180,145
5591,202,35,1244,218
5609,139,14,845,109
5618,129,5,772,84
5627,183,36,1130,139
5654,172,32,1059,120
5670,257,49,1584,236
5673,209,20,1271,141
5674,164,29,1008,115
5681,172,31,1058,118
5692,171,35,1056,191
5698,211,16,1281,184
5702,184,33,1132,129
5704,172,29,1057,119
5706,251,27,1528,183
5714,190,33,1172,127
5723,232,44,1432,162
5726,242,37,1482,169
5747,281,49,1730,240
5749,199,33,1225,142
5751,165,36,1019,116
5752,170,36,1048,119
5761,187,33,1154,132
5762,231,33,1418,158
5766,153,27,942,106
5768,162,29,1001,106
5773,153,27,943,101
5781,189,38,1165,144
5786,228,35,1402,160
5791,234,43,1444,212
5796,214,32,1315,147
5797,126,26,779,87
5810,139,31,859,99
5812,238,42,1467,226
5813,220,34,1352,148
5817,175,32,1078,147
5827,186,33,1147,129
5833,205,34,1260,147
5850,198,14,1199,135
5856,203,37,1253,143
5871,157,27,967,113
5883,137,32,847,115
5885,180,34,1110,125
5895,164,33,1010,131
5899,146,31,900,98
5906,137,8,825,86
5909,203,38,1252,208
5910,111,17,680,76
5916,169,33,1043,119
5926,266,41,1634,186
5936,233,43,1437,168
5941,158,35,979,109
5947,203,39,1253,142
5949,224,43,1382,168
5952,140,28,865,97
5953,157,18,956,106
5956,158,35,978,109
5961,142,8,856,90
5963,225,37,1381,253
5967,192,37,1185,140
5968,173,31,1068,118
5973,250,5,1503,203
5974,161,24,986,107
5979,164,30,1012,136
5990,264,42,1623,197
5991,268,40,1646,183
5997,150,31,929,103
6005,173,17,1050,112
6009,197,37,1216,132
6017,150,31,927,105
6029,163,42,1012,109
6042,136,16,826,133
6050,157,17,951,103
6056,244,19,1479,232
6069,226,44,1395,163
6078,170,29,1047,120
6085,175,31,1077,113
6088,215,39,1323,152
6089,218,42,1346,198
6096,223,40,1375,156
6109,168,33,1039,116
6118,203,31,1245,178
6123,154,15,935,100
6129,169,29,1040,158
6137,182,40,1129,123
6150,155,30,956,101
6159,160,30,988,112
6165,163,30,1006,130
6167,185,31,1139,132
6183,179,35,1106,183
6189,187,36,1155,131
6192,166,20,1013,110
6202,216,33,1327,171
6205,187,32,1153,189
6213,149,14,904,102
6215,172,32,1059,139
6228,205,36,1265,169
6229,125,5,755,77
6240,209,45,1296,192
6243,239,40,1474,171
6244,245,19,1485,176
6250,194,37,1196,156
6256,175,35,1082,130
6261,172,34,1064,130
6274,197,34,1214,156
6282,183,24,1117,134
6298,212,31,1298,171
6309,172,35,1063,128
6318,139,7,838,97
6321,185,31,1137,124
6332,223,38,1376,163
6333,169,34,1044,113
6340,158,32,978,110
6344,192,37,1187,235
6356,149,30,921,265
6359,171,35,1058,129
6367,208,40,1284,151
6371,164,29,1010,107
6384,174,36,1076,121
6403,171,35,1055,118
